City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,15.55,52,75,2.57,US,1694653987
1,kingston,17.997,-76.7936,30.53,74,40,3.09,JM,1694653976
2,grytviken,-54.2811,-36.5092,-10.21,67,31,2.94,GS,1694653987
3,puerto natales,-51.7236,-72.4875,1.53,99,100,0.42,CL,1694653988
4,korla,41.7597,86.1469,21.66,37,39,4.77,CN,1694653988
5,edinburgh of the seven seas,-37.0676,-12.3116,14.85,85,91,18.04,SH,1694653988
6,taro,-8.3862,115.28,22.0,75,81,1.89,ID,1694653988
7,ribeira grande,38.5167,-28.7,23.76,96,83,4.02,PT,1694653988
8,constantia,44.1833,28.65,18.38,72,7,5.85,RO,1694653989
9,blackmans bay,-43.0167,147.3167,18.62,71,100,2.07,AU,1694653989
10,thompson,55.7435,-97.8558,16.09,77,75,1.54,CA,1694653989
11,vernon,50.2581,-119.2691,25.52,35,7,0.51,CA,1694653989
12,alenquer,-1.9417,-54.7383,28.39,42,57,1.48,BR,1694653879
13,adamstown,-25.066,-130.1015,17.62,63,1,6.86,PN,1694653990
14,sola,-13.8833,167.55,24.37,79,100,5.53,VU,1694653990
15,port-aux-francais,-49.35,70.2167,1.91,74,20,15.36,TF,1694653990
16,east london,-33.0153,27.9116,20.41,41,100,4.47,ZA,1694653990
17,nyurba,63.2842,118.3319,1.95,97,100,4.68,RU,1694653991
18,kodiak,57.79,-152.4072,11.73,66,0,2.06,US,1694653991
19,albany,42.6001,-73.9662,17.71,90,3,2.12,US,1694653991
20,bethel,41.3712,-73.414,21.38,85,100,0.0,US,1694653747
21,la passe,45.5549,-0.8967,15.55,82,0,1.24,FR,1694653991
22,beledweyne,4.7358,45.2036,24.28,75,30,7.51,SO,1694653992
23,waitangi,-43.9535,-176.5597,13.79,79,39,4.47,NZ,1694653992
24,san nicolas,18.1725,120.5953,29.95,74,75,1.03,PH,1694653992
25,longyearbyen,78.2186,15.6401,1.91,75,75,7.72,SJ,1694653992
26,klaksvik,62.2266,-6.589,9.51,77,100,11.96,FO,1694653993
27,bocaiuva,-17.1078,-43.815,24.84,44,0,1.72,BR,1694653993
28,jamestown,42.097,-79.2353,16.77,94,0,3.09,US,1694653993
29,alo,7.4178,6.7371,23.09,98,100,1.36,NG,1694653993
30,labasa,-16.4167,179.3833,28.83,66,97,3.82,FJ,1694653993
31,mar del plata,-38.0023,-57.5575,10.61,80,1,5.36,AR,1694653750
32,port saint john's,-31.6229,29.5448,17.13,63,0,3.82,ZA,1694653994
33,carnarvon,-24.8667,113.6333,20.4,61,0,3.68,AU,1694653994
34,trancas,-26.2314,-65.2803,11.53,31,88,1.36,AR,1694653995
35,kapuskasing,49.4169,-82.4331,11.05,81,75,2.06,CA,1694653995
36,nakatsugawa,35.4833,137.5,28.39,66,86,2.22,JP,1694653995
37,udachny,66.4167,112.4,3.03,80,37,3.25,RU,1694653995
38,krasnokamsk,58.0802,55.7541,6.09,83,93,0.65,RU,1694653996
39,saipan,15.1355,145.701,31.39,74,40,3.6,MP,1694653996
40,aykhal,66.0,111.5,1.85,73,19,2.6,RU,1694653996
41,yellowknife,62.456,-114.3525,16.98,74,100,2.06,CA,1694653996
42,afaahiti,-17.75,-149.2833,25.93,73,96,10.43,PF,1694653997
43,cabedelo,-6.9811,-34.8339,23.37,85,74,6.03,BR,1694653997
44,papatowai,-46.5619,169.4708,12.03,75,43,8.59,NZ,1694653997
45,san patricio,28.017,-97.5169,31.4,57,0,5.46,US,1694653997
46,kone,-21.0595,164.8658,19.71,88,100,2.7,NC,1694653514
47,georgetown,5.4112,100.3354,28.96,74,20,1.54,MY,1694653998
48,tukrah,32.5341,20.5791,23.36,67,0,3.97,LY,1694653998
49,carbonear,47.7332,-53.2148,16.35,96,14,2.69,CA,1694653998
50,edson,53.5835,-116.4356,16.08,31,0,6.69,CA,1694653998
51,atafu village,-8.5421,-172.5159,28.56,77,21,6.2,TK,1694653999
52,aasiaat,68.7098,-52.8699,4.86,71,100,7.31,GL,1694653999
53,sao joao da barra,-21.6403,-41.0511,22.77,86,0,12.01,BR,1694653999
54,talnakh,69.4865,88.3972,10.67,98,100,6.58,RU,1694653999
55,wailua homesteads,22.0669,-159.378,28.24,81,100,4.63,US,1694654000
56,belyy yar,53.6039,91.3903,8.94,93,0,0.0,RU,1694654000
57,castillos,-34.1667,-53.8333,9.2,93,100,3.67,UY,1694654000
58,port mathurin,-19.6833,63.4167,22.34,73,100,6.19,MU,1694654000
59,bairnsdale,-37.8333,147.6167,22.81,43,93,1.34,AU,1694654001
